Latitude,Longitude,System_ID,unit,value,Time_UTC,Temperature_diff_K,,Datum,Uhrzeit,Zeitdifferenz,UhrzeitUTC,Rest,Uhrzeit umgewandelt in Text,,
51.99419,7.64361,1,°C,18.1,2019-07-17T05:57:01.000Z,2.6,,2019-07-17T,07:57:01,02:00:00,05:57:01,.000Z,05:57:01,,
51.99419,7.64361,1,°C,18.08,2019-07-17T05:57:02.000Z,2.6,,2019-07-17T,07:57:02,02:00:00,05:57:02,.000Z,05:57:02,,
51.9942,7.6436,1,°C,18.05,2019-07-17T05:57:03.000Z,2.6,,2019-07-17T,07:57:03,02:00:00,05:57:03,.000Z,05:57:03,,
51.9942,7.64361,1,°C,18.07,2019-07-17T05:57:04.000Z,2.6,,2019-07-17T,07:57:04,02:00:00,05:57:04,.000Z,05:57:04,,
51.99421,7.64361,1,°C,18.03,2019-07-17T05:57:05.000Z,2.5,,2019-07-17T,07:57:05,02:00:00,05:57:05,.000Z,05:57:05,,
51.99421,7.64361,1,°C,18.03,2019-07-17T05:57:06.000Z,2.5,,2019-07-17T,07:57:06,02:00:00,05:57:06,.000Z,05:57:06,,
51.99421,7.64361,1,°C,18.03,2019-07-17T05:57:07.000Z,2.5,,2019-07-17T,07:57:07,02:00:00,05:57:07,.000Z,05:57:07,,
51.9942,7.6436,1,°C,18.02,2019-07-17T05:57:08.000Z,2.5,,2019-07-17T,07:57:08,02:00:00,05:57:08,.000Z,05:57:08,,
51.9942,7.64358,1,°C,17.99,2019-07-17T05:57:09.000Z,2.5,,2019-07-17T,07:57:09,02:00:00,05:57:09,.000Z,05:57:09,,
51.9942,7.64358,1,°C,17.99,2019-07-17T05:57:10.000Z,2.5,,2019-07-17T,07:57:10,02:00:00,05:57:10,.000Z,05:57:10,,
51.99419,7.64355,1,°C,17.97,2019-07-17T05:57:11.000Z,2.5,,2019-07-17T,07:57:11,02:00:00,05:57:11,.000Z,05:57:11,,
51.99419,7.64355,1,°C,17.97,2019-07-17T05:57:12.000Z,2.5,,2019-07-17T,07:57:12,02:00:00,05:57:12,.000Z,05:57:12,,
51.99418,7.64357,1,°C,17.96,2019-07-17T05:57:13.000Z,2.5,,2019-07-17T,07:57:13,02:00:00,05:57:13,.000Z,05:57:13,,
51.99418,7.64357,1,°C,17.96,2019-07-17T05:57:14.000Z,2.5,,2019-07-17T,07:57:14,02:00:00,05:57:14,.000Z,05:57:14,,
