Latitude,Longitude,System_ID,unit,value,Time_UTC,Temperature_diff_K,,Datum,Uhrzeit,Zeitdifferenz,UhrzeitUTC,Rest,Uhrzeit umgewandelt in Text,,
51.97467,7.63943,1,°C,16.08,2019-07-16T19:30:03.000Z,0.2,,2019-07-16T,21:30:03,02:00:00,19:30:03,.000Z,19:30:03,,
51.97467,7.63943,1,°C,16.08,2019-07-16T19:30:04.000Z,0.2,,2019-07-16T,21:30:04,02:00:00,19:30:04,.000Z,19:30:04,,
51.97469,7.63947,1,°C,16.07,2019-07-16T19:30:05.000Z,0.2,,2019-07-16T,21:30:05,02:00:00,19:30:05,.000Z,19:30:05,,
51.97469,7.63947,1,°C,16.05,2019-07-16T19:30:06.000Z,0.1,,2019-07-16T,21:30:06,02:00:00,19:30:06,.000Z,19:30:06,,
51.97471,7.63949,1,°C,16.02,2019-07-16T19:30:07.000Z,0.1,,2019-07-16T,21:30:07,02:00:00,19:30:07,.000Z,19:30:07,,
51.97471,7.63949,1,°C,16.05,2019-07-16T19:30:08.000Z,0.1,,2019-07-16T,21:30:08,02:00:00,19:30:08,.000Z,19:30:08,,
51.97474,7.63951,1,°C,16.05,2019-07-16T19:30:09.000Z,0.1,,2019-07-16T,21:30:09,02:00:00,19:30:09,.000Z,19:30:09,,
51.97474,7.63953,1,°C,16.04,2019-07-16T19:30:10.000Z,0.1,,2019-07-16T,21:30:10,02:00:00,19:30:10,.000Z,19:30:10,,
51.97477,7.63953,1,°C,16.04,2019-07-16T19:30:11.000Z,0.1,,2019-07-16T,21:30:11,02:00:00,19:30:11,.000Z,19:30:11,,
51.9748,7.63954,1,°C,16.04,2019-07-16T19:30:12.000Z,0.1,,2019-07-16T,21:30:12,02:00:00,19:30:12,.000Z,19:30:12,,
51.9748,7.63954,1,°C,16.02,2019-07-16T19:30:13.000Z,0.1,,2019-07-16T,21:30:13,02:00:00,19:30:13,.000Z,19:30:13,,
51.97481,7.63956,1,°C,16.04,2019-07-16T19:30:14.000Z,0.1,,2019-07-16T,21:30:14,02:00:00,19:30:14,.000Z,19:30:14,,
51.97481,7.63956,1,°C,16.04,2019-07-16T19:30:15.000Z,0.1,,2019-07-16T,21:30:15,02:00:00,19:30:15,.000Z,19:30:15,,
51.97488,7.6396,1,°C,16.02,2019-07-16T19:30:16.000Z,0.1,,2019-07-16T,21:30:16,02:00:00,19:30:16,.000Z,19:30:16,,
51.97488,7.6396,1,°C,16.02,2019-07-16T19:30:17.000Z,0.1,,2019-07-16T,21:30:17,02:00:00,19:30:17,.000Z,19:30:17,,
51.97492,7.63962,1,°C,16.02,2019-07-16T19:30:18.000Z,0.1,,2019-07-16T,21:30:18,02:00:00,19:30:18,.000Z,19:30:18,,
51.97492,7.63965,1,°C,16.04,2019-07-16T19:30:19.000Z,0.1,,2019-07-16T,21:30:19,02:00:00,19:30:19,.000Z,19:30:19,,
51.97495,7.63965,1,°C,16.05,2019-07-16T19:30:20.000Z,0.1,,2019-07-16T,21:30:20,02:00:00,19:30:20,.000Z,19:30:20,,
51.97497,7.63966,1,°C,16.04,2019-07-16T19:30:21.000Z,0.1,,2019-07-16T,21:30:21,02:00:00,19:30:21,.000Z,19:30:21,,
51.97497,7.63966,1,°C,16.05,2019-07-16T19:30:22.000Z,0.1,,2019-07-16T,21:30:22,02:00:00,19:30:22,.000Z,19:30:22,,
